dataset,stage,split,keep_rate_pct,trades,wins,losses,win_rate_pct,avg_pnl_points,profit_factor
momentum,0,in_sample_all,100.0,1100,653,447,59.36363636363636,0.8500227272727228,1.1827128914665581
momentum,1,in_sample_all,20.0,220,156,64,70.9090909090909,1.2399999999999987,1.513839575818648
momentum,2,in_sample_all,4.0,44,39,5,88.63636363636364,3.3151136363636313,3.6690759377859017
momentum,3,in_sample_all,1.6363636363636365,18,18,0,100.0,6.385277777777775,inf
momentum,4,in_sample_all,0.45454545454545453,5,5,0,100.0,9.423999999999978,inf
mean_reversion,0,in_sample_all,100.0,844,400,444,47.39336492890995,0.09413507109004503,1.0142813873707235
mean_reversion,1,in_sample_all,20.023696682464458,169,106,63,62.721893491124256,3.0594970414201175,1.6999099824702704
mean_reversion,2,in_sample_all,4.028436018957346,34,27,7,79.41176470588235,8.794117647058837,4.678641732283471
mean_reversion,3,in_sample_all,1.1848341232227488,10,10,0,100.0,14.794500000000108,inf
mean_reversion,4,in_sample_all,0.5924170616113744,5,5,0,100.0,23.411000000000058,inf
naked_long_4bar,0,in_sample_all,100.0,69752,36263,33489,51.988473448789996,0.1411301468058264,1.0838791581026073
naked_long_4bar,1,in_sample_all,10.001146920518408,6976,3849,3127,55.174885321100916,0.24607110091742848,1.1427568127276517
naked_long_4bar,2,in_sample_all,3.0006308062851246,2093,1206,887,57.62064022933588,0.34634352603917656,1.2966113172682165
naked_long_4bar,3,in_sample_all,0.3010666360821195,210,141,69,67.14285714285714,0.7015952380952469,2.3102267674522143
naked_long_4bar,4,in_sample_all,0.0602133272164239,42,36,6,85.71428571428571,1.0382142857142644,22.014457831326713
naked_long_4bar,5,in_sample_all,0.035841266200252325,25,24,1,96.0,1.365199999999959,82.26190476188823
naked_short_4bar,0,in_sample_all,100.0,69752,33437,36315,47.936976717513474,-0.1411301468058264,0.9226120758245389
naked_short_4bar,1,in_sample_all,10.001146920518408,6976,3567,3409,51.132454128440365,-0.09693807339449291,0.9487376968653172
naked_short_4bar,2,in_sample_all,2.0013763046220894,1396,760,636,54.44126074498568,0.07198925501432768,1.0433222473925055
naked_short_4bar,3,in_sample_all,0.21934854914554422,153,102,51,66.66666666666666,0.8758823529411779,1.8309924658171424
naked_short_4bar,4,in_sample_all,0.03727491684826242,26,23,3,88.46153846153845,2.120384615384576,29.199488491049117
