step,added,score,selected,challenge_7d_starts,challenge_7d_pass_rate_pct,challenge_7d_fail_rate_pct,challenge_7d_incomplete_rate_pct,challenge_7d_median_pass_days,challenge_7d_avg_pass_win_rate_pct,challenge_7d_p50_final_pnl,challenge_8d_starts,challenge_8d_pass_rate_pct,challenge_8d_fail_rate_pct,challenge_8d_incomplete_rate_pct,challenge_8d_median_pass_days,challenge_8d_avg_pass_win_rate_pct,challenge_8d_p50_final_pnl,challenge_14d_starts,challenge_14d_pass_rate_pct,challenge_14d_fail_rate_pct,challenge_14d_incomplete_rate_pct,challenge_14d_median_pass_days,challenge_14d_avg_pass_win_rate_pct,challenge_14d_p50_final_pnl,challenge_30d_starts,challenge_30d_pass_rate_pct,challenge_30d_fail_rate_pct,challenge_30d_incomplete_rate_pct,challenge_30d_median_pass_days,challenge_30d_avg_pass_win_rate_pct,challenge_30d_p50_final_pnl,challenge_eventual_starts,challenge_eventual_pass_rate_pct,challenge_eventual_fail_rate_pct,challenge_eventual_incomplete_rate_pct,challenge_eventual_median_pass_days,challenge_eventual_avg_pass_win_rate_pct,challenge_eventual_p50_final_pnl,basket_trades,basket_wins,basket_losses,basket_win_rate_pct,basket_profit_factor,basket_total,basket_avg,basket_active_days,basket_calendar_days,basket_trades_per_active_day,basket_trades_per_day,basket_trades_per_week
1,GC / sasha_evdakov_sr_break_retest / sasha_evdakov_sr_break_retest|ny|range=15|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.05|adx_max=none|adx_min=none|rsi2=none|trend=all|max_bars=24|one_trade=1,76.51455337975584,1,259,0.0,0.0,100.0,0.0,0.0,5.046839204194839,259,0.0,0.0,100.0,0.0,0.0,-7.68864909261174,259,0.0,0.0,100.0,0.0,0.0,-5.999999999985448,259,0.0,0.0,100.0,0.0,0.0,31.49454875943775,259,90.34749034749035,0.0,9.652509652509652,855.4375,46.818475664384394,6380.356055704993,259,119,140,45.94594594594595,1.2451595591654088,5786.768565275663,22.342735773265108,259,1561,1.0,0.16591928251121077,1.1614349775784754
2,RTY / dan_mcdermitt_ema_rider / dan_mcdermitt_ema_rider|ny|range=15|entry=150|rr=1.5|sl_atr=1|tp_atr=1.5|threshold=0.05|adx_max=none|adx_min=none|rsi2=none|trend=both|max_bars=32|one_trade=1,95.08915711215339,2,564,0.0,0.0,100.0,0.0,0.0,-20.53719790130708,564,0.0,0.0,100.0,0.0,0.0,-17.54722509882413,564,0.0,0.0,100.0,0.0,0.0,-31.354093746995204,564,0.0,0.0,100.0,0.0,0.0,40.76253569009714,564,89.8936170212766,0.0,10.106382978723403,839.9791666666666,44.79933898573898,6397.003378123525,661,298,363,45.08320726172466,1.1365713783969595,4765.460904751959,7.2094718680059895,564,1569,1.1719858156028369,0.4212874442319949,2.9490121096239643
